;SOFIX;BG REIT
13-oct-2023;750,41;187,42
12-oct-2023;752,83;187,07
11-oct-2023;751,89;187,07
10-oct-2023;753,4;187,44
09-oct-2023;755,71;189,16
06-oct-2023;753,13;188,47
05-oct-2023;753,57;188,05
04-oct-2023;751,77;191,45
03-oct-2023;747,79;190,55
02-oct-2023;748,73;190,72
29-sept-2023;755,73;190,35
28-sept-2023;755,18;190,33
27-sept-2023;743,79;190,49
26-sept-2023;743,56;190,63
25-sept-2023;741,81;190,71
21-sept-2023;741,15;191,19
20-sept-2023;740,06;191,13
19-sept-2023;733,39;190,32
18-sept-2023;740,97;193,30
15-sept-2023;745,82;193,11
14-sept-2023;751,96;193,82
13-sept-2023;753,37;194,37
12-sept-2023;755,65;193,63
11-sept-2023;755,03;193,63
08-sept-2023;756,68;193,38
07-sept-2023;756,46;193,97
05-sept-2023;745,93;193,86
04-sept-2023;752,26;194,11
01-sept-2023;758,33;194,22
31-aug-2023;755,65;194,22
30-aug-2023;757,88;193,18
29-aug-2023;752,63;193,62
28-aug-2023;746,62;193,14
25-aug-2023;741,19;192,66
24-aug-2023;733,41;192,12
23-aug-2023;730,4;191,75
22-aug-2023;729,22;191,64
21-aug-2023;729,65;191,27
18-aug-2023;727,72;191,52
17-aug-2023;718,16;191,52
16-aug-2023;710,3;191,52
15-aug-2023;713,38;191,52
14-aug-2023;708,55;191,16
11-aug-2023;706,53;189,91
10-aug-2023;706,48;189,55
09-aug-2023;705;189,91
08-aug-2023;705,09;189,91
07-aug-2023;706,39;192,96
04-aug-2023;695,21;191,13
03-aug-2023;691,29;191,97
02-aug-2023;688,55;191,97
01-aug-2023;688,34;191,61
31-iul-2023;687,14;191,97
28-iul-2023;679,54;192,08
27-iul-2023;677,81;190,25
26-iul-2023;677,61;189,89
25-iul-2023;677,22;191,13
24-iul-2023;680,94;190,17
21-iul-2023;682,7;191,13
20-iul-2023;678,05;191,02
19-iul-2023;672,01;190,90
18-iul-2023;670,59;190,67
17-iul-2023;672,04;190,90
14-iul-2023;671,96;190,65
13-iul-2023;671,89;190,92
12-iul-2023;673,26;191,02
11-iul-2023;672,53;191,02
10-iul-2023;671,48;189,54
07-iul-2023;672,49;191,89
06-iul-2023;671,91;192,01
05-iul-2023;673,73;192,01
04-iul-2023;671,17;192,26
03-iul-2023;668,79;192,37
30-iun-2023;669,9;192,37
29-iun-2023;668,81;191,33
28-iun-2023;669,07;191,22
27-iun-2023;670,14;191,70
26-iun-2023;675,67;191,22
23-iun-2023;678,45;191,16
22-iun-2023;675,16;191,16
21-iun-2023;677,81;190,93
20-iun-2023;675,16;191,04
19-iun-2023;685,44;190,66
16-iun-2023;684,87;190,89
15-iun-2023;686,69;190,55
14-iun-2023;685,11;190,08
13-iun-2023;690,42;190,46
12-iun-2023;684,63;190,33
09-iun-2023;683,34;190,33
08-iun-2023;686,3;190,33
07-iun-2023;681,64;190,21
06-iun-2023;680,23;190,43
05-iun-2023;683,65;190,43
02-iun-2023;673,67;190,18
01-iun-2023;672,12;190,18
31-mai-2023;666,63;190,18
30-mai-2023;666,25;189,84
