Date;WIG;WIG IT;WIG ENERGY;WIG OIL&GAS;WIG FOOD;WIG CONSTRUCTION;WIG BANKS;WIG MEDIA;WIG CHEMICALS
13.oct.23;67.061,90;4.422,95;2.478,67;6.356,24;2.122,70;6.263,80;8.497,23;7.206,55;10.585,32
12.oct.23;66.682,65;4.399,80;2.422,08;6.195,98;2.118,23;6.089,31;8.490,27;7.195,94;10.483,35
11.oct.23;67.053,03;4.462,94;2.417,01;6.209,45;2.107,69;6.068,04;8.541,47;7.243,33;10.555,25
10.oct.23;66.571,49;4.444,62;2.387,92;6.210,29;2.092,19;5.995,95;8.393,84;7.181,11;10.466,19
09.oct.23;65.008,48;4.426,61;2.266,80;5.958,57;2.091,10;5.920,68;8.147,07;6.994,92;10.306,50
06.oct.23;63.903,35;4.445,84;2.238,92;5.611,90;2.094,85;5.584,82;7.992,27;6.997,48;10.142,74
05.oct.23;63.799,77;4.412,34;2.307,62;5.756,79;2.082,65;5.630,54;7.715,78;7.080,72;10.285,73
04.oct.23;64.282,18;4.444,78;2.340,81;5.872,50;2.088,92;5.892,18;7.656,58;7.053,20;10.212,13
03.oct.23;63.776,83;4.419,42;2.358,93;5.932,79;2.080,40;5.786,96;7.451,29;6.896,02;10.156,87
02.oct.23;64.190,54;4.435,78;2.463,15;5.920,92;2.088,41;5.850,51;7.464,31;7.004,53;10.296,66
29.sept.23;65.397,43;4.473,00;2.503,18;6.018,72;2.106,60;5.867,43;7.656,52;7.053,80;10.350,67
28.sept.23;64.417,96;4.438,45;2.461,03;5.967,36;2.084,26;5.816,72;7.466,70;7.018,73;10.045,45
27.sept.23;64.884,38;4.434,33;2.515,13;5.977,91;2.067,22;5.828,29;7.451,18;7.134,41;10.044,82
26.sept.23;65.760,08;4.473,69;2.528,13;6.073,49;2.074,56;5.768,18;7.601,43;7.135,63;10.116,34
25.sept.23;65.788,09;4.522,39;2.504,00;6.141,92;2.103,63;5.843,37;7.455,68;7.223,18;10.124,14
22.sept.23;66.519,31;4.537,97;2.547,81;6.227,39;2.123,39;5.871,76;7.579,01;7.370,25;10.134,12
21.sept.23;66.528,72;4.543,50;2.591,83;6.109,09;2.109,16;5.901,99;7.705,10;7.349,41;10.260,46
20.sept.23;67.293,01;4.589,18;2.597,00;6.078,28;2.110,49;5.963,51;7.855,75;7.380,85;10.380,91
19.sept.23;66.136,36;4.499,38;2.540,71;6.029,90;2.117,81;5.887,55;7.680,62;7.369,57;10.139,06
18.sept.23;66.439,42;4.557,28;2.566,78;6.117,05;2.140,45;5.830,81;7.587,05;7.465,29;10.381,06
15.sept.23;67.368,11;4.538,93;2.608,89;6.184,63;2.130,16;5.815,21;7.771,63;7.397,54;10.460,56
14.sept.23;67.199,88;4.547,11;2.611,36;6.126,85;2.115,88;5.811,43;7.788,61;7.439,64;10.370,07
13.sept.23;66.663,75;4.598,47;2.609,59;6.055,52;2.104,70;5.769,10;7.740,29;7.342,65;9.576,79
12.sept.23;66.559,85;4.552,47;2.578,70;6.064,67;2.083,62;5.739,87;7.700,24;7.212,27;9.609,50
11.sept.23;66.466,05;4.550,70;2.579,59;5.991,48;2.090,08;5.670,66;7.693,73;7.239,88;9.673,83
08.sept.23;66.542,34;4.588,07;2.562,89;6.001,82;2.088,97;5.727,74;7.700,13;7.197,23;9.612,98
07.sept.23;65.932,92;4.505,39;2.524,40;5.987,81;2.075,99;5.852,09;7.647,96;7.188,16;9.245,46
06.sept.23;66.747,11;4.521,24;2.530,56;6.186,16;2.097,93;5.802,20;7.721,27;7.630,27;9.447,75
05.sept.23;67.828,60;4.512,55;2.646,71;6.314,29;2.132,07;5.983,73;8.038,30;7.620,04;9.485,48
04.sept.23;68.356,52;4.517,90;2.708,67;6.386,17;2.147,41;5.939,28;8.108,06;7.705,20;9.609,59
01.sept.23;69.017,61;4.544,19;2.777,11;6.486,70;2.193,78;5.921,12;8.253,11;7.666,87;9.706,04
31.aug.23;68.431,46;4.475,70;2.830,12;6.436,88;2.190,32;5.914,07;8.185,92;7.424,34;9.648,36
30.aug.23;68.979,76;4.514,14;2.843,62;6.489,47;2.171,37;6.072,11;8.311,78;7.422,05;9.703,26
29.aug.23;68.794,91;4.483,52;2.827,19;6.484,11;2.171,08;6.089,14;8.270,90;7.551,91;9.730,58
28.aug.23;68.721,61;4.494,54;2.878,77;6.532,74;2.168,74;6.065,38;8.254,81;7.651,23;9.670,81
25.aug.23;67.706,43;4.458,36;2.870,25;6.391,46;2.168,33;6.093,85;8.056,65;7.650,55;9.466,94
24.aug.23;68.007,57;4.503,83;2.924,86;6.497,18;2.183,83;6.125,05;8.122,14;7.680,46;9.546,19
23.aug.23;68.153,41;4.569,88;3.006,75;6.546,06;2.173,77;6.147,61;8.057,97;7.716,29;9.648,27
22.aug.23;68.161,12;4.590,17;2.934,25;6.558,51;2.190,09;6.196,88;8.039,43;7.834,87;9.788,60
21.aug.23;68.295,20;4.535,76;2.899,04;6.532,23;2.232,24;6.106,26;8.137,79;7.802,35;9.724,77
