date,carbune,consum,hidro,hidrocarburi,nuclear,eolian,productie,fotovolt,biomasa,sold
11/18/2023 21:59,924,6359,3587,1472,707,1347,8088,-1,53,-1728
11/18/2023 4:46,965,5384,1465,1423,1394,369,5670,-1,55,-286
11/17/2023 11:55,1048,7449,2219,1462,1371,501,6907,251,55,541
11/16/2023 18:59,1012,7628,2115,1431,1360,418,6394,0,58,1233
11/16/2023 2:08,1005,5428,1422,1409,1405,1031,6322,-1,51,-895
11/15/2023 9:16,952,7413,1658,1364,1367,209,5632,44,37,1781
11/14/2023 16:25,949,7136,1800,1470,1395,1649,7340,27,51,-204
11/13/2023 23:30,918,5995,1765,1472,1390,295,5888,-1,49,106
11/13/2023 6:30,922,5933,1327,1391,1385,31,5099,0,42,835
11/12/2023 13:26,885,5101,1366,1313,1392,2590,8044,459,40,-2943
11/11/2023 20:29,849,6632,1861,1368,1393,1535,7048,0,42,-416
11/11/2023 3:40,818,5190,1174,1330,1387,1633,6386,-1,44,-1196
11/10/2023 10:09,896,6954,2029,1433,1329,857,7048,452,53,-95
11/9/2023 17:12,962,7127,1955,1427,1343,21,5762,0,53,1365
11/8/2023 23:47,1038,5702,1427,1365,1390,1254,6521,-1,47,-819
11/8/2023 6:30,992,6022,1707,1349,1389,684,6174,0,53,-152
11/7/2023 13:38,898,6402,1364,1323,1375,305,5737,419,54,665
11/6/2023 20:46,717,6962,1676,1371,1378,1282,6481,0,58,481
11/6/2023 3:55,870,4700,986,1177,1391,2294,6752,0,39,-2052
11/5/2023 10:59,619,4680,1289,1265,1387,638,5790,554,38,-1110
11/4/2023 18:09,829,6680,1679,1330,1392,2386,7656,0,39,-976
11/4/2023 1:17,822,5331,1559,1300,1385,419,5522,0,38,-191
11/3/2023 8:25,832,6716,1359,1386,1379,1324,6465,138,46,251
11/2/2023 15:30,831,6548,1291,1375,1326,566,5609,180,41,939
11/1/2023 22:38,841,6008,1292,1368,1382,471,5395,0,40,613
11/1/2023 5:46,838,5292,1314,1277,1397,625,5487,0,36,-195
10/31/2023 12:56,930,6206,1283,1319,1347,1188,6688,579,40,-482
10/30/2023 19:59,916,7148,1328,1336,1365,1563,6554,0,47,594
10/30/2023 3:08,915,4495,991,1308,1378,508,5137,0,38,-641
10/29/2023 9:16,902,4685,1191,499,1374,97,4550,452,36,136
10/28/2023 16:25,740,5717,787,846,1375,2008,6088,292,39,-371
10/27/2023 23:29,800,5742,1253,1217,1379,1991,6689,0,50,-946
10/27/2023 6:38,937,5924,1235,1294,1384,723,5622,0,50,302
10/26/2023 13:46,769,6118,1247,1284,1354,1201,6336,431,50,-218
10/25/2023 20:55,902,7229,1112,1324,1396,2267,7053,0,53,176
10/25/2023 3:59,721,5069,1086,1279,1396,1489,6017,0,47,-948
10/24/2023 11:08,940,6335,1381,1319,1367,62,5543,430,44,792
10/23/2023 18:16,931,6633,1382,1308,1385,17,5073,4,46,1560
10/23/2023 1:25,720,4737,983,1301,1403,1161,5614,0,47,-877
10/22/2023 8:25,884,5135,994,1195,1398,1264,5809,27,47,-674
10/21/2023 15:09,770,5380,1087,1187,1399,1356,6345,502,43,-965
10/20/2023 22:16,883,6432,1409,1379,1392,1009,6120,-1,49,312
10/20/2023 5:25,877,5291,1248,1367,1397,1110,6047,0,48,-756
10/19/2023 12:26,780,6362,1163,1322,1332,2031,7190,515,47,-827
10/18/2023 19:18,881,7401,1503,1386,1372,400,5589,-1,48,1812
10/18/2023 1:25,634,5454,1307,1348,1399,283,5020,0,48,434
10/17/2023 8:29,950,6979,1456,1326,1324,27,5229,99,49,1749
10/16/2023 15:38,719,5827,1080,1225,1321,1625,6604,583,51,-777
10/15/2023 22:38,840,5380,1260,1198,1384,704,5434,0,49,-54
10/15/2023 5:37,718,4630,1104,1113,1388,913,5286,0,50,-656
10/14/2023 12:48,712,4673,1002,1108,1385,336,5332,739,50,-659
10/13/2023 19:47,949,7369,1947,1253,1378,15,5600,0,58,1769
10/13/2023 2:08,942,5009,1168,1229,1389,1171,5955,-1,56,-946
10/12/2023 8:38,927,6651,1418,1313,1392,858,6091,150,33,560
10/11/2023 11:16,755,5969,1338,1160,1346,47,5261,560,54,708
10/10/2023 18:25,916,6467,1324,1203,1388,617,5510,14,47,957
10/10/2023 1:29,932,5097,1222,1271,1376,276,5119,0,41,-22
10/9/2023 8:38,931,6384,1308,1297,1381,351,5492,183,41,892
10/8/2023 15:47,913,5005,1827,1162,1383,1378,6960,254,43,-1955
10/7/2023 22:55,813,5386,955,1185,1380,1950,6325,-1,43,-939
10/7/2023 6:00,850,4926,1247,1262,1379,52,4836,0,46,90
10/6/2023 13:08,806,5684,1333,1187,1329,615,5911,593,48,-227
10/5/2023 20:17,887,6996,1548,1314,1359,480,5637,0,50,1359
10/5/2023 2:25,759,4778,1050,1236,1376,521,4987,0,45,-209
10/4/2023 9:29,591,6196,1430,1147,1379,464,5429,374,43,767
10/3/2023 16:38,612,5820,1271,1146,1380,100,5000,451,42,819
10/2/2023 23:46,587,5223,1264,1236,1374,953,5456,0,42,-233
10/2/2023 6:38,811,5270,1163,1196,1386,1379,5979,0,43,-709
10/1/2023 13:46,573,4504,544,1062,1385,1560,5761,593,43,-1257
9/30/2023 20:55,878,6194,1374,1266,1381,407,5352,0,47,843
9/30/2023 3:59,827,4716,1044,1196,1386,1272,5771,0,46,-1054
9/29/2023 11:08,986,5921,1108,1188,1318,1200,6526,681,46,-605
9/28/2023 17:56,882,6461,1534,1252,1339,910,6121,157,44,340
9/28/2023 0:29,903,5217,1069,1296,1372,1512,6183,0,31,-966
9/27/2023 6:29,709,5645,1148,1253,1375,2082,6599,-1,33,-954
9/26/2023 13:38,730,6120,1212,1170,1350,2318,7637,825,32,-1516
9/25/2023 20:16,902,7135,1571,1294,1352,1284,6438,0,34,697
9/24/2023 16:56,849,5223,1371,853,1377,418,5168,267,34,55
9/23/2023 23:17,857,5345,1107,1180,1378,1129,5686,0,35,-341
9/23/2023 5:59,839,4963,1157,1160,1380,834,5404,-1,36,-440
9/22/2023 12:59,757,5948,1239,1122,1324,1304,6522,741,35,-574
9/21/2023 20:08,1129,7117,1398,1210,1355,885,6017,0,36,1100
9/21/2023 3:16,864,5048,1250,1104,1364,7,4624,0,34,424
9/20/2023 10:25,1031,6342,1372,1114,1366,60,5394,418,32,948
9/19/2023 17:29,1043,6329,1380,1133,1341,467,5553,154,35,776
9/19/2023 0:38,883,5200,1278,1098,1352,281,4923,0,32,277
9/18/2023 7:09,1048,5754,1329,1113,1357,443,5321,1,30,434
9/17/2023 14:16,764,4690,1116,624,1360,845,5205,464,31,-515
9/16/2023 21:25,901,6133,1319,1148,1358,417,5176,0,44,956
9/16/2023 4:29,763,4811,1193,1081,1359,465,4903,0,42,-92
9/15/2023 11:38,717,6351,1360,1051,1281,138,5048,460,40,1303
9/14/2023 18:46,943,6579,1312,1046,1350,1628,6365,39,46,214
9/14/2023 1:56,875,5070,1047,1086,1360,1378,5794,0,48,-723
9/13/2023 8:55,714,6336,1480,1111,1368,298,5319,298,50,1018
9/12/2023 15:59,608,6140,1519,1047,1368,374,5596,632,46,543
9/11/2023 23:08,926,5717,1260,1133,1375,437,5176,0,45,541
9/11/2023 6:17,883,5071,1220,1127,1371,84,4731,0,39,340
9/10/2023 12:38,775,4487,927,501,1375,569,4917,729,41,-430
9/9/2023 19:46,909,6047,1671,1108,1370,773,5873,0,42,174
9/9/2023 2:56,870,4899,1260,1115,1369,25,4679,0,40,220
9/8/2023 10:00,936,6142,1529,1095,1283,1099,6486,500,44,-344
9/7/2023 17:09,922,6193,1457,1085,1317,655,5968,486,46,225
9/7/2023 0:17,1049,5272,1387,1088,1369,529,5460,0,38,-187
9/6/2023 7:25,851,5892,1529,1091,1368,1445,6342,16,42,-449
9/5/2023 14:29,833,5883,1251,714,1311,2271,7049,632,36,-1165
9/4/2023 21:38,802,6592,1204,1028,1352,2386,6816,0,44,-223
9/4/2023 4:46,815,4481,742,978,1360,1218,5146,0,33,-665
9/3/2023 11:55,854,4609,1119,925,1325,12,4967,698,34,-358
9/2/2023 18:59,1076,6032,1426,983,1361,113,5059,62,38,973
9/2/2023 2:08,1044,4972,1197,1026,1355,713,5375,0,34,-403
9/1/2023 9:17,933,6294,1405,1008,1365,440,5564,377,37,730
8/30/2023 23:55,850,5571,1070,1056,1352,388,4751,0,35,820
8/30/2023 6:55,897,5702,1317,1064,1356,755,5425,2,34,277
8/29/2023 13:59,1075,7075,1567,995,1317,385,6090,718,34,985
8/28/2023 21:08,1090,7833,2145,1053,1344,417,6086,0,38,1747
8/28/2023 3:59,1047,4785,1112,1036,1361,322,4909,0,32,-124
8/27/2023 11:08,1057,5182,1330,914,1355,90,5501,726,30,-319
8/26/2023 18:17,1051,6746,1262,976,1345,1166,6074,239,34,673
8/26/2023 1:25,890,5573,1374,1042,1355,517,5219,0,36,354
8/25/2023 8:29,1054,6731,1416,1020,1362,12,5117,214,39,1615
8/24/2023 15:38,1233,7424,1748,1023,1277,232,6173,622,37,1252
8/23/2023 22:38,1203,6878,1745,1088,1360,519,5958,0,43,921
8/23/2023 5:47,1181,5511,1349,1071,1352,128,5122,0,37,390
8/22/2023 12:56,1084,7214,1913,1016,1329,212,6357,772,33,857
8/21/2023 19:59,1120,7399,2333,1064,1326,125,6012,4,37,1386
8/21/2023 3:00,848,4673,1167,1067,1364,765,5241,0,31,-567
8/20/2023 10:08,1050,4999,1702,921,1365,530,6149,546,33,-1150
8/19/2023 17:16,958,6159,1741,909,1364,757,6193,429,35,-34
8/19/2023 0:25,1070,5654,1513,1047,1364,465,5495,0,35,159
8/18/2023 7:29,1099,5878,1866,1088,1356,439,5936,58,30,-57
8/17/2023 14:38,1161,6579,1669,954,1294,636,6467,722,32,112
8/16/2023 21:08,1192,7049,2429,1111,1342,961,7063,0,29,-15
8/16/2023 4:17,686,4637,1444,978,1364,2001,6500,0,28,-1863
8/15/2023 11:25,742,5190,1887,995,1354,2105,7573,456,31,-2383
8/14/2023 18:29,932,6110,2760,334,1365,1035,6705,252,27,-595
